Question,Answer
Why was the shift to Universal Health Coverage necessary?,"To ensure that all Kenyans have access to quality, affordable and comprehensive quality health services from health promotion to prevention, curative, rehabilitation, and palliative care without suffering financial hardship."
What is Social Health Insurance (SHI)?,It is a form of health financing mechanism based on risk and resource pooling to increase efficiency of the healthcare system that ensures that people pay for premiums into a pooled fund that can be used for those who need the services at no cost when they need the services.
What are the Principles of Social Health Insurance?,"Accessible, quality, affordable healthcare services for all, Well-defined benefit package anchored in law, Mandatory registration and contribution, Equity."
Why is Social Health Insurance important?,"An efficient way of managing health funds – able to set and monitor administrative costs, An equitable way of managing health funds – funding based on need, Direct contributions from beneficiaries improves participation and transparency, Constitutional provisions exist allowing for targeting of funds for specific priorities/geographical area."
What are the 4 Health Laws?,"1. The Social Health Insurance Law (2023) – Creating institutions and legislating the procedures for driving social health insurance in Kenya.
2. The Digital Health Act (2023) – Creating the enabling environment for development of digital platform for integrating health system needs and database for citizens for purposes of health care access.
3. Facility Improvement Financing Law (2023) – Specifically developed for public health facilities to ensure they are well financed to offer health services to Kenyans, and are well positioned to compete with private healthcare facilities.
4. Primary Care Networks Law (2023) – To create the necessary legislation for development of collaborative mechanism for related healthcare providers in the sub-county level, ensuring collaboration for service delivery and referral mechanisms."
What informs the proposed reforms towards the SHI? (Why was the transition to SHA necessary instead of revamping NHIF?),"• The ultimate goal of a social health insurance system is to provide equitable and affordable access to healthcare services for all members of society.
• To increase health insurance coverage.
• Existence of fragmented pools targeting different populations creates inefficiencies, resulting in increased healthcare costs. SHI proposes 3 consolidated pools to address inefficiencies.
• High number of Kenyans being subjected to financial constraints due to catastrophic illnesses.
• Promote equity and fairness in contribution, through households and not individuals."
What is the difference between SHA and SHIF?,"SHA is the manager of the 3 Funds: PHCF, SHIF, and ECCF. The 3 funds have different mandates and their monies have different sources. The registration of members is done by SHA."
What is the transition process from NHIF to SHA?,"Transition clause 2 (1) provides for the transfer of rights, powers, liabilities, and duties to be taken over by SHA after the effective date of the Act i.e., 22nd November 2023."
How will the transition process from NHIF to SHA be done?,"The Transition Committee, created in February 2024, will work for 6 months and the two boards (NHIF and SHA) in consultation with the Ministry of Health ensure the transition process is completed within the 12 months provided for in the law. The Committee will develop legal and institutional framework; guidelines and operational mechanism in regard to assets and liabilities, human resources and pensions and other staff benefits; and develop a clear roadmap for the winding up of NHIF by July 2024."
Are the three bodies under SHA Independent (with own structures)?,"There will only be one authority to manage three funds under i.e., The Primary Care Fund, The Social Health Insurance Fund, and the Emergency, Chronic and Critical Illness Fund."
Will the current running contracts with suppliers and health care providers be affected by the transition process?,The contracts and other legal obligations of NHIF have been taken over by SHA. The transition committee will work on seamless transition of the contractual obligations to ensure uninterrupted service delivery.
Are NHIF assets and liabilities automatically SHA’s?,"Yes, Section 2(1) of the transition provisions allows the assets and liabilities to be automatically transferred to SHA."
